Source,Source Name,IP,Service,Target,Timestamp
SERVER08,SERVER08,10.168.146.120,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-02-03T05:00:00.944Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-02-03T04:20:08.274Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-02-03T04:20:05.277Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-02-03T04:20:05.277Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-02-03T03:07:20.850Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-02-03T03:07:20.850Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-02-03T03:07:20.850Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-03T02:16:39.178Z
SERVER08,SERVER08,10.168.146.120,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-02-03T02:00:00.956Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-02-02T22:20:13.914Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-02-02T20:40:10.149Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-02-02T20:40:09.847Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-02-02T20:13:50.767Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-02-02T18:29:40.647Z
10.168.146.150,10.168.146.150,10.168.146.150,File Share,FILESHARE01,2025-02-02T18:29:40.132Z
10.168.146.150,10.168.146.150,10.168.146.150,File Share,FILESHARE04,2025-02-02T18:29:40.132Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-02T18:11:00.931Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-02-02T17:27:00.616Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-02-02T17:27:00.616Z
10.168.146.61,10.168.146.61,10.168.146.61,File Share,FILESHARE02,2025-02-02T17:26:57.615Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-02-02T12:39:49.342Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-02-02T11:20:40.513Z
SERVER03,SERVER03,10.168.146.232,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-02-02T11:00:00.164Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-02-02T10:49:47.435Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-02-02T10:49:44.434Z
SERVER08,SERVER08,10.168.146.120,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-02-02T10:00:00.623Z
SERVER03,SERVER03,10.168.146.232,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-02-02T10:00:00.196Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-02-02T08:49:15.585Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-02-02T08:49:15.585Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-02-02T08:49:15.585Z
SERVER08,SERVER08,10.168.146.120,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-02-02T08:15:00.261Z
SERVER03,SERVER03,10.168.146.232,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-02-02T08:00:00.811Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-02-02T07:36:37.052Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-02-02T07:36:37.052Z
10.168.146.61,10.168.146.61,10.168.146.61,File Share,FILESHARE01,2025-02-02T07:36:34.041Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-02T06:16:41.603Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-02-02T02:49:23.936Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-02-02T01:09:22.609Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-02-02T01:09:19.609Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-02-02T00:48:27.670Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-02-01T22:58:50.331Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-02-01T22:58:50.322Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-02-01T22:58:50.321Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-02-01T21:56:11.484Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-02-01T21:56:11.375Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-02-01T21:56:10.969Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-01T20:17:03.834Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-01T20:07:02.734Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-01T18:39:37.973Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-01T18:34:22.689Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-02-01T17:29:00.404Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-02-01T15:33:14.180Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-02-01T15:28:55.422Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-02-01T15:28:55.313Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-02-01T13:28:26.593Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-02-01T13:28:26.195Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-02-01T13:28:26.192Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-01T12:07:37.970Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-02-01T12:05:47.481Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-02-01T12:05:47.184Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-02-01T12:05:47.169Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-02-01T07:38:35.591Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-02-01T06:53:03.275Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-02-01T05:56:54.759Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE02,2025-02-01T05:48:30.875Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE01,2025-02-01T05:48:30.859Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-02-01T04:02:57.528Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-02-01T03:48:01.975Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-02-01T03:48:01.582Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-02-01T03:48:01.579Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-02-01T03:18:58.649Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-02-01T02:22:59.541Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-02-01T02:05:26.244Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-02-01T02:05:23.273Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-02-01T02:05:23.269Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-02-01T00:05:21.419Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-02-01T00:05:21.402Z
10.168.146.61,10.168.146.61,10.168.146.61,File Share,FILESHARE04,2025-02-01T00:05:18.414Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE04,2025-01-31T21:58:11.427Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-31T19:58:09.424Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-01-31T19:58:06.408Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-31T19:53:24.653Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-31T17:57:36.390Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-31T17:57:36.390Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-31T17:57:36.390Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-31T17:42:41.624Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-31T17:07:37.842Z
10.168.145.78,10.168.145.78,10.168.145.78,File Share,FILESHARE01,2025-01-31T16:37:47.830Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-01-31T14:14:55.416Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-01-31T14:14:55.018Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-01-31T14:14:55.018Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE04,2025-01-31T12:07:46.745Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-31T10:57:12.317Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-31T10:17:41.986Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-01-31T10:17:41.970Z
SERVER03,SERVER03,10.168.146.232,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-01-31T10:00:00.403Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-31T08:47:28.443Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-31T08:17:14.839Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-31T08:17:14.831Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-31T08:17:11.838Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-31T08:02:27.071Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-01-31T06:52:33.953Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-01-31T06:52:33.953Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-01-31T04:34:34.724Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-01-31T04:34:34.717Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-01-31T04:34:31.714Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE04,2025-01-31T02:27:22.361Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-31T01:28:59.672Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-01-31T00:27:17.232Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE02,2025-01-31T00:27:17.232Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-30T22:26:49.683Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-30T22:26:46.681Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-30T22:26:46.680Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-30T22:18:04.483Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-30T21:36:14.835Z
10.168.145.78,10.168.145.78,10.168.145.78,File Share,FILESHARE01,2025-01-30T21:07:42.345Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-01-30T18:44:08.088Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-01-30T18:44:08.088Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-01-30T18:44:08.088Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-01-30T16:36:57.805Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-30T14:46:55.999Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-01-30T14:46:52.995Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-30T14:37:44.465Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-30T13:20:50.040Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-30T12:46:22.131Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-30T12:46:22.126Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-30T12:46:22.122Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-30T12:20:53.749Z
10.168.145.78,10.168.145.78,10.168.145.78,File Share,FILESHARE01,2025-01-30T11:22:32.682Z
SERVER03,SERVER03,10.168.146.232,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-01-30T10:00:12.827Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-01-30T09:03:47.954Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-01-30T09:03:47.954Z
10.168.146.61,10.168.146.61,10.168.146.61,File Share,FILESHARE02,2025-01-30T09:03:44.938Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-01-30T06:56:33.230Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-30T05:36:32.142Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-30T04:56:30.986Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE01,2025-01-30T04:56:27.975Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-30T03:30:42.998Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-30T02:55:59.584Z
10.168.146.150,10.168.146.150,10.168.146.150,File Share,FILESHARE01,2025-01-30T02:55:56.583Z
10.168.146.150,10.168.146.150,10.168.146.150,File Share,FILESHARE02,2025-01-30T02:55:56.583Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-30T02:49:33.693Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-01-30T01:37:42.214Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-01-29T23:23:24.699Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-01-29T23:23:21.699Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-01-29T23:23:21.699Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-01-29T20:56:07.869Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-29T19:36:17.409Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-29T18:56:05.565Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-01-29T18:56:02.565Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-01-29T18:56:02.549Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-29T17:50:14.869Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-29T17:43:20.035Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-29T17:15:32.039Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-29T17:15:32.036Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-29T17:15:32.025Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-29T17:02:29.819Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-29T16:35:56.781Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-01-29T16:35:56.719Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-01-29T15:37:31.210Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-01-29T13:32:58.546Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-01-29T13:32:58.139Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-01-29T13:32:58.139Z
SERVER03,SERVER03,10.168.146.232,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-01-29T10:00:01.015Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-01-29T09:05:37.839Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-29T08:14:05.807Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-29T07:25:09.921Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-29T07:25:06.942Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-29T07:25:06.936Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-29T07:24:00.328Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-01-29T06:55:32.849Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-29T06:55:32.552Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-29T06:43:16.833Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-01-29T03:52:37.734Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-01-29T03:52:37.731Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-01-29T03:52:34.745Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-01-29T02:05:36.348Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-01-29T01:56:14.707Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE04,2025-01-28T23:25:13.319Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-28T22:29:48.272Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-28T22:27:06.159Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-28T21:56:49.898Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-01-28T21:25:08.642Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-28T21:25:08.531Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-28T21:24:41.464Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-28T21:24:41.460Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-28T21:24:41.458Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-28T20:19:47.021Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-28T19:14:36.364Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-28T19:14:35.982Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-28T19:14:35.981Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-01-28T18:02:11.183Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-01-28T18:02:11.183Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-01-28T18:02:11.183Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-01-28T15:56:05.154Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-28T15:53:57.961Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-28T15:53:57.929Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-28T15:53:57.912Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-28T15:53:48.389Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE01,2025-01-28T15:53:48.389Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE04,2025-01-28T13:44:48.874Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-01-28T12:48:27.825Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-28T12:21:52.629Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-28T12:11:32.564Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-28T11:34:46.550Z
10.168.145.201,10.168.145.201,10.168.145.201,File Share,FILESHARE01,2025-01-28T11:34:43.534Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-01-28T11:03:29.101Z
SERVER03,SERVER03,10.168.146.232,Uncategorized (USER01@DOMAIN.ORG),USER01,2025-01-28T10:00:00.285Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-28T09:54:30.627Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-28T09:24:13.677Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-28T09:24:10.688Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-28T09:24:10.687Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-01-28T08:21:48.755Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE02,2025-01-28T08:21:48.646Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-01-28T08:21:48.349Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-01-28T03:54:24.575Z
COMPUTER01,COMPUTER01,10.168.145.78,File Share,FILESHARE01,2025-01-28T02:48:06.006Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-28T01:54:22.493Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-01-28T01:54:19.461Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-28T01:40:18.431Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-28T01:37:40.416Z
10.168.145.78,10.168.145.78,10.168.145.78,File Share,FILESHARE01,2025-01-28T01:18:07.617Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE03,2025-01-28T01:01:17.155Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE02,2025-01-27T23:43:46.115Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE01,2025-01-27T23:43:46.112Z
SERVER04,SERVER04,10.168.146.102,File Share,FILESHARE04,2025-01-27T23:43:46.112Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE01,2025-01-27T22:31:27.656Z
SERVER02,SERVER02,10.168.146.61,File Share,FILESHARE04,2025-01-27T22:31:24.683Z
10.168.146.61,10.168.146.61,10.168.146.61,File Share,FILESHARE02,2025-01-27T22:31:24.673Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE04,2025-01-27T18:13:59.831Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE03,2025-01-27T17:22:05.952Z
SERVER02,SERVER02,10.168.146.61,File Share,SERVER05,2025-01-27T16:38:30.152Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE01,2025-01-27T16:13:57.945Z
SERVER01,SERVER01,10.168.145.201,File Share,FILESHARE02,2025-01-27T16:13:54.934Z
10.168.145.78,10.168.145.78,10.168.145.78,File Share,FILESHARE01,2025-01-27T15:33:06.729Z
